[Fri Mar 31 19:35:06.056375 2017] [:error] [pid 8811] [client 127.0.0.1:52449] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:35:06.056379 2017] [:error] [pid 8811] [client 127.0.0.1:52449] PHP   2. usleep() /var/www/html/poc/http_long_polling/ajax_polling_long.php:9, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:35:43.464234 2017] [:error] [pid 8813] [client 127.0.0.1:52490] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 9, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:35:43.464283 2017] [:error] [pid 8813] [client 127.0.0.1:52490] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:35:43.464291 2017] [:error] [pid 8813] [client 127.0.0.1:52490] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:35:47.311238 2017] [:error] [pid 12409] [client 127.0.0.1:52489] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 11, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:35:47.311273 2017] [:error] [pid 12409] [client 127.0.0.1:52489] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:35:47.311279 2017] [:error] [pid 12409] [client 127.0.0.1:52489] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:35:47.311283 2017] [:error] [pid 12409] [client 127.0.0.1:52489] PHP   2. filemtime() /var/www/html/poc/http_long_polling/ajax_polling_long.php:11, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:36:40.394234 2017] [:error] [pid 8803] [client 127.0.0.1:52487] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 11, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:36:40.394269 2017] [:error] [pid 8803] [client 127.0.0.1:52487] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:36:40.394274 2017] [:error] [pid 8803] [client 127.0.0.1:52487] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:36:40.394276 2017] [:error] [pid 8803] [client 127.0.0.1:52487] PHP   2. filemtime() /var/www/html/poc/http_long_polling/ajax_polling_long.php:11, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:36:50.076231 2017] [:error] [pid 8806] [client 127.0.0.1:52433] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 11, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:36:50.076256 2017] [:error] [pid 8806] [client 127.0.0.1:52433] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:36:50.076262 2017] [:error] [pid 8806] [client 127.0.0.1:52433] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:36:50.076265 2017] [:error] [pid 8806] [client 127.0.0.1:52433] PHP   2. filemtime() /var/www/html/poc/http_long_polling/ajax_polling_long.php:11, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:39:41.009263 2017] [:error] [pid 27142] [client 127.0.0.1:52525] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 9, referer: http://dbi-poc.com/http_long_polling/
